DATE,SP500,GOOGLE,AMAZON,APPLE,MICROSOFT
2005-09-12,1240.560059,154.291672,44.5,7.342857,26.610001
2005-09-13,1231.199951,155.258057,43.93,7.26,26.48
2005-09-14,1227.160034,150.934265,43.099998,7.087143,26.309999
2005-09-15,1227.72998,150.744965,42.709999,7.124286,26.27
2005-09-16,1237.910034,149.53949,42.799999,7.315714,26.07
2005-09-19,1231.02002,151.327789,42.75,7.52,26
2005-09-20,1221.339966,153.380096,41.869999,7.598571,25.84
2005-09-21,1210.199951,155.367645,41.25,7.444286,25.49
2005-09-22,1214.619995,155.103638,42.080002,7.414286,25.34
2005-09-23,1215.290039,157.091187,42.189999,7.6,25.27
2005-09-26,1215.630005,156.553207,43.34,7.691429,25.27
2005-09-27,1215.660034,156.383835,43.16,7.634286,25.34
2005-09-28,1216.890015,152.428665,43.369999,7.297143,25.67
2005-09-29,1227.680054,154.231903,44.790001,7.477143,25.940001
2005-09-30,1228.810059,157.63913,45.299999,7.658571,25.73
2005-10-03,1226.699951,158.74498,46.009998,7.777143,25.5
2005-10-04,1214.469971,154.919327,44.93,7.678571,24.98
2005-10-05,1196.390015,154.774872,44.490002,7.54,24.67
2005-10-06,1191.48999,155.791061,44.009998,7.385714,24.73
2005-10-07,1195.900024,155.910614,43.720001,7.328571,24.59
2005-10-10,1187.329956,154.74498,43.759998,7.195714,24.459999
2005-10-11,1184.869995,152.47847,43.400002,7.37,24.41
2005-10-12,1177.680054,149.92305,42.549999,7.035714,24.299999
2005-10-13,1176.839966,148.164642,42.619999,7.677143,24.59
2005-10-14,1186.569946,147.517075,43.790001,7.714286,24.67
2005-10-17,1190.099976,151.930527,45.02,7.634286,24.530001
2005-10-18,1178.140015,151.073746,44.650002,7.458571,24.57
2005-10-19,1195.76001,153.773621,45.860001,7.848571,25.09
2005-10-20,1177.800049,151.03389,45.009998,8.02,24.790001
2005-10-21,1179.589966,169.315369,45.950001,7.951428,24.780001
2005-10-24,1199.380005,173.674026,46.93,8.112857,25.1
2005-10-25,1196.540039,172.807281,46.169998,8.014286,25.030001
2005-10-26,1191.380005,177.056351,39.75,8.147142,25.110001
2005-10-27,1178.900024,175.870789,39.060001,7.915714,24.85
2005-10-28,1198.410034,178.416245,38.950001,7.781428,25.530001
2005-10-31,1207.01001,185.375168,39.860001,8.227143,25.700001
2005-11-01,1202.76001,188.981644,40.369999,8.214286,25.959999
2005-11-02,1214.76001,189.131088,40.75,8.564285,26.459999
2005-11-03,1219.939941,192.254379,41.560001,8.835714,26.440001
2005-11-04,1220.140015,194.486023,41.09,8.735714,26.66
2005-11-07,1222.810059,196.777435,41.389999,8.604285,27.01
2005-11-08,1218.589966,194.222015,41.950001,8.557143,27.049999
2005-11-09,1220.650024,188.867081,41.400002,8.587143,26.959999
2005-11-10,1230.959961,194.819763,42.18,8.74,27.09
2005-11-11,1234.719971,194.471069,42.68,8.791429,27.280001
2005-11-14,1233.76001,197.743805,42.529999,8.778571,27.370001
2005-11-15,1229.01001,195.666595,44.450001,8.897142,27.5
2005-11-16,1231.209961,198.331604,45.299999,9.278571,27.74
2005-11-17,1242.800049,200.97171,46.740002,9.217143,27.969999
2005-11-18,1248.27002,199.357758,47.98,9.222857,28.07
2005-11-21,1254.849976,203.91568,47.990002,9.28,28.16
2005-11-22,1261.22998,207.457397,48.849998,9.502857,27.91
2005-11-23,1265.609985,210.640472,48.240002,9.587143,27.92
2005-11-25,1268.25,213.50972,48.060001,9.905714,27.76
2005-11-28,1257.459961,210.94931,48.349998,9.951428,27.75
2005-11-29,1257.47998,201.016541,48.549999,9.728572,27.68
2005-11-30,1249.47998,201.69899,48.459999,9.688571,27.68
2005-12-01,1264.670044,206.271835,49,10.228572,27.889999
2005-12-02,1265.079956,208.070099,49.060001,10.375714,28.01
2005-12-05,1262.089966,202.167221,48.830002,10.26,27.85
2005-12-06,1263.699951,201.514679,49.259998,10.578571,27.690001
2005-12-07,1257.369995,201.35527,48.830002,10.564285,27.75
2005-12-08,1255.839966,204.558258,48.349998,10.582857,27.690001
2005-12-09,1259.369995,203.835968,48.740002,10.618571,27.709999
2005-12-12,1260.430054,205.534607,49.07,10.701428,27.450001
2005-12-13,1267.430054,207.9655,49.5,10.711429,27.129999
2005-12-14,1272.73999,208.697754,49.41,10.287143,27.09
2005-12-15,1270.939941,210.486053,49.48,10.311429,26.92
2005-12-16,1267.319946,214.271851,49.209999,10.158571,26.9
2005-12-19,1259.920044,211.507217,48.369999,10.197143,26.83
2005-12-20,1259.619995,214.067627,48.139999,10.301429,26.860001
2005-12-21,1262.790039,212.368988,48.970001,10.5,26.73
2005-12-22,1268.119995,215.213333,49.220001,10.574286,26.59
2005-12-23,1268.660034,214.6604,49.220001,10.478572,26.639999
2005-12-27,1256.540039,211.527145,48.560001,10.604285,26.459999
2005-12-28,1258.170044,212.548309,48.060001,10.51,26.389999
2005-12-29,1254.420044,209.290527,47.990002,10.207143,26.27
2005-12-30,1248.290039,206.655411,47.150002,10.27,26.15
2006-01-03,1268.800049,216.802368,47.580002,10.678572,26.84
2006-01-04,1273.459961,221.788681,47.25,10.71,26.969999
2006-01-05,1273.47998,224.777481,47.650002,10.625714,26.99
2006-01-06,1285.449951,231.960556,47.869999,10.9,26.91
2006-01-09,1290.150024,232.578247,47.080002,10.864285,26.860001
2006-01-10,1289.689941,234.002899,45.650002,11.551429,27
2006-01-11,1294.180054,234.934402,44.93,11.985714,27.290001
2006-01-12,1286.060059,230.949341,44.360001,12.041429,27.139999
2006-01-13,1287.609985,232.254456,44.400002,12.227143,27.190001
2006-01-17,1282.930054,232.682846,44,12.101429,26.99
2006-01-18,1277.930054,221.624298,44.32,11.784286,26.83
2006-01-19,1285.040039,217.410095,44.450001,11.291429,27.02
2006-01-20,1261.48999,198.984161,43.919998,10.87,26.41
2006-01-23,1263.819946,212.951797,43.73,11.095715,26.35
2006-01-24,1266.859985,220.687805,44.02,10.862857,26.280001
2006-01-25,1264.680054,215.691528,43.599998,10.6,26.4
2006-01-26,1273.829956,216.324158,44.68,10.332857,26.5
2006-01-27,1283.719971,215.935623,45.220001,10.29,27.790001
2006-01-30,1285.189941,212.613068,44.959999,10.714286,28
2006-01-31,1280.079956,215.522171,44.82,10.787143,28.15
2006-02-01,1282.459961,200.139832,43.98,10.774285,28.040001
2006-02-02,1270.839966,197.280548,42.740002,10.3,27.68
2006-02-03,1264.030029,190.062592,38.330002,10.264286,27.540001
2006-02-06,1265.02002,191.830963,37.950001,9.614285,27.17
2006-02-07,1254.780029,183.273041,37.52,9.657143,26.940001
2006-02-08,1265.650024,183.850876,38.169998,9.83,26.91
2006-02-09,1263.780029,178.715134,37.990002,9.278571,26.66
2006-02-10,1266.98999,180.62796,38.52,9.615714,26.690001
2006-02-13,1262.859985,172.204529,37.860001,9.244286,26.389999
2006-02-14,1275.530029,171.018982,38.25,9.662857,26.65
2006-02-15,1280,170.550735,39.259998,9.888572,26.879999
2006-02-16,1289.380005,182.545776,39.150002,10.081429,26.809999
2006-02-17,1287.23999,183.686493,39.189999,10.041429,26.700001
2006-02-21,1283.030029,182.610535,38.290001,9.868571,26.540001
2006-02-22,1292.670044,182.062592,38.720001,10.188571,26.719999
2006-02-23,1287.790039,188.329102,37.900002,10.25,26.66
2006-02-24,1289.430054,187.995346,38.349998,10.208571,26.629999
2006-02-27,1294.119995,194.461105,38.009998,10.141429,27.049999
2006-02-28,1280.660034,180.63295,37.439999,9.784286,26.870001
2006-03-01,1291.23999,181.718872,37.119999,9.871428,27.139999
2006-03-02,1289.140015,187.522125,36.880001,9.944285,26.969999
2006-03-03,1287.22998,188.383896,37.209999,9.674286,26.93
2006-03-06,1278.26001,183.362717,36.860001,9.354285,26.91
2006-03-07,1275.880005,181.544525,36.93,9.472857,27.059999
2006-03-08,1278.469971,176.279266,36.810001,9.38,27.25
2006-03-09,1272.22998,170.859573,36.119999,9.132857,27
2006-03-10,1281.420044,168.119843,36.220001,9.027143,27.17
2006-03-13,1284.130005,167.900665,36.189999,9.382857,27.110001
2006-03-14,1297.47998,174.924347,36.91,9.617143,27.23
2006-03-15,1303.02002,171.606781,36.889999,9.461429,27.360001
2006-03-16,1305.329956,168.752472,36.77,9.187143,27.27
2006-03-17,1307.25,169.260574,35.990002,9.237143,27.5
2006-03-20,1305.079956,173.444885,36.23,9.141429,27.889999
2006-03-21,1297.22998,169.325333,35.919998,8.83,27.74
2006-03-22,1305.040039,169.474762,36,8.81,27.15
2006-03-23,1301.670044,170.306656,35.68,8.594286,26.85
2006-03-24,1302.949951,182.21701,35.470001,8.565714,27.01
2006-03-27,1301.609985,184.154739,35.25,8.501429,27.01
2006-03-28,1293.22998,187.895721,35.689999,8.387143,26.9
2006-03-29,1302.890015,196.752518,36.32,8.904285,27.02
2006-03-30,1300.25,193.494736,36.669998,8.964286,27.23
2006-03-31,1294.869995,194.27182,36.529999,8.96,27.209999
2006-04-03,1297.810059,194.122375,36.139999,8.95,27.559999
2006-04-04,1305.930054,201.415054,36.77,8.738571,27.639999
2006-04-05,1311.560059,203.233231,37.34,9.601429,27.74
2006-04-06,1309.040039,204.822281,38.509998,10.177143,27.559999
2006-04-07,1295.5,202.321655,37.09,9.97,27.25
2006-04-10,1296.619995,207.412567,36.610001,9.81,27.290001
2006-04-11,1286.569946,204.065109,36.060001,9.712857,27.129999
2006-04-12,1288.119995,203.711441,36.130001,9.53,27.200001
2006-04-13,1289.119995,200.329117,36.619999,9.495714,27.07
2006-04-17,1285.329956,202.650421,35.27,9.258572,26.84
2006-04-18,1307.280029,201.365234,36.279999,9.46,27.219999
2006-04-19,1309.930054,204.483551,36.889999,9.378572,27.030001
2006-04-20,1311.459961,206.725143,36.34,9.661428,27.030001
2006-04-21,1311.280029,217.733887,36.029999,9.577143,27.15
2006-04-24,1308.109985,219.427536,35.790001,9.392858,27.110001
2006-04-25,1301.73999,212.78244,35.549999,9.452857,27.110001
2006-04-26,1305.410034,212.189667,35.790001,9.735714,27.1
2006-04-27,1309.719971,209.230759,35.740002,9.908571,27.25
2006-04-28,1310.609985,208.189651,35.209999,10.055715,24.15
2006-05-01,1305.189941,198.7052,34.59,9.942857,24.290001
2006-05-02,1313.209961,196.662857,34.380001,10.231428,24.01
2006-05-03,1308.119995,196.34903,33.959999,10.162857,23.17
2006-05-04,1312.25,196.637955,34.470001,10.161428,23.440001
2006-05-05,1325.76001,196.413788,35.040001,10.27,23.799999
2006-05-08,1324.660034,196.652893,34.689999,10.27,23.73
2006-05-09,1325.140015,203.636719,34.84,10.147142,23.620001
